google.com	GET	301	text/html	Other	357 B	2.07 s	
s?output=search&sclient=psy-ab&q=spor&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=4&gs_id=h&xhr=t&es_nrs=true&tch=1&ech=4&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	519 B	82 ms	
s?output=search&sclient=psy-ab&q=sport&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=5&gs_id=m&xhr=t&es_nrs=true&tch=1&ech=5&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	522 B	61 ms	
s?output=search&sclient=psy-ab&q=sports&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=6&gs_id=p&xhr=t&es_nrs=true&tch=1&ech=6&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	525 B	54 ms	
s?output=search&sclient=psy-ab&q=H&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&bs=1&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=1&gs_id=z&xhr=t&es_nrs=true&tch=1&ech=7&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	526 B	73 ms	
s?output=search&sclient=psy-ab&q=Hu&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=2&gs_id=14&xhr=t&es_nrs=true&tch=1&ech=8&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	520 B	68 ms	
s?output=search&sclient=psy-ab&q=Hug&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=3&gs_id=18&xhr=t&es_nrs=true&tch=1&ech=9&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	522 B	70 ms	
s?output=search&sclient=psy-ab&q=Hun&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=3&gs_id=1f&xhr=t&es_nrs=true&tch=1&ech=10&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	524 B	65 ms	
s?output=search&sclient=psy-ab&q=Hung&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=4&gs_id=1i&xhr=t&es_nrs=true&tch=1&ech=11&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	524 B	86 ms	
s?output=search&sclient=psy-ab&q=Hunge&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=5&gs_id=1n&xhr=t&es_nrs=true&tch=1&ech=12&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	67.4 KB	635 ms	
s?output=search&sclient=psy-ab&q=Hunger&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=6&gs_id=1q&xhr=t&es_nrs=true&tch=1&ech=13&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	534 B	62 ms	
s?output=search&sclient=psy-ab&q=Hunger%20&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=7&gs_id=1v&xhr=t&es_nrs=true&tch=1&ech=14&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	540 B	76 ms	
s?output=search&sclient=psy-ab&q=Hunger%20G&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=8&gs_id=20&xhr=t&es_nrs=true&tch=1&ech=15&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	530 B	55 ms	
s?output=search&sclient=psy-ab&q=Hunger%20Ga&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=9&gs_id=24&xhr=t&es_nrs=true&tch=1&ech=16&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	529 B	93 ms	
s?output=search&sclient=psy-ab&q=Hunger%20Gam&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=10&gs_id=28&xhr=t&es_nrs=true&tch=1&ech=17&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	535 B	65 ms	
s?output=search&sclient=psy-ab&q=Hunger%20Games&oq=&gs_l=&pbx=1&bav=on.2,or.r_cp.r_qf.&bvm=bv.80120444,d.eXY&fp=cd4d672a6dd21f5e&biw=1539&bih=225&dpr=0.67&pf=p&sugexp=msedrc&gs_rn=58&gs_ri=psy-ab&tok=WxhRpYOqMyxksShmUtzHXw&cp=12&gs_id=2g&xhr=t&es_nrs=true&tch=1&ech=18&psi=7-9tVOivF8i0ggT23YKwCQ.1416490992848.1	GET	200	application/json	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:248	528 B	111 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
data:image/gif;base…	GET	(data)	image/gif	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:1151	(from cache)	0 ms	
OwAAADXzx7ZMdvmhUXzDa16rA9BdQkQJnOuGWvdDI0f8lHlmlNjNg8L2dCykV5GoC6GoLmEGEstR8SkqMJYvCv0nRgY	GET	200	text/plain	Other	371 B	114 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA	GET	200	text/javascript	rs=ACT90oEUx91fR6Zmur5h1HFgd94BFfXJsA:103	22.7 KB	53 ms	
client_204?&atyp=i&biw=1539&bih=225&dpr=0.6660000085830688&ei=LfBtVOynIoymNqyTgqgE	GET	204	text/html	Other	68 B	36 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
data:image/jpeg;bas…	GET	(data)	image/jpeg	Other	(from cache)	0 ms	
